"student","MAP"
22558,-0.514275209667021
24285,0.510943297734399
24356,0.368817419331636
53364,-0.612172375705361
53076,1.32007647343645
24229,0.949671090602262
22560,-0.483000968248186
24169,-0.793189922971794
53652,-1.72059550562756
24064,-0.89793941975812
22602,-0.883089658945308
37679,-0.45297273896354
24227,-1.5376516254095
24413,-0.0323533476144791
53091,-1.13389484607544
53072,0.333474931640673
11720,1.27118575608237
11807,-1.00682142043542
11896,0.0605504986939994
11675,-1.38149529507229
11898,0.280643825857769
24354,0.879396474612252
24358,-1.3542205386183
24359,0.0888822589449229
24228,1.07824939219608
24463,0.530202402176527
24295,-0.81908184701713
37492,-0.275200590082414
24355,-0.861534773476771
37375,-0.277276915031337
24357,0.916425020039084
24462,0.330554044880975
24171,1.18153602776544
55359,0.277652058952595
37603,0.113853423698484
24461,-0.759653945322077
37602,-0.355336283694442
37808,0.179843499583921
22559,-1.75030874836309
45005,0.608236571623682
22470,-0.509000505616403
37699,0.389607137647068
38028,-0.604716523525051
22525,-0.012779401556427
22561,-0.742610591784046
22468,-0.854354126629099
40962,-0.377129724495632
16598,-0.626652614196218
40329,-0.712408350082378
40747,-0.390917195568733
26905,0.0693737726117343
40729,-0.846948796554804
37267,0.385811229025966
40248,0.716005119797244
41070,-0.44085912921454
40986,1.32007647343645
36786,0.329371649800536
40487,1.69884712515613
36802,0.937698987593919
6302,0.254064616640691
6301,0.0125262471229664
6234,0.11211196220139
6213,0.876696057389863
6280,0.305137873435397
22541,-0.878161873011919
40356,-1.05339512099787
9878,-1.14517047626141
9645,0.445932360760089
9960,0.226863865058189
10031,-0.461428903046155
56533,0.448936058724345
9973,0.638966335122983
18589,0.215222518660578
10047,-0.278162963060605
9877,0.357627363542797
25823,-0.194939244081853
9816,-0.412310942979907
9571,1.00918866557501
9656,0.271458182900063
10127,-0.43335411503898
9580,-0.0566157858050638
9889,0.290399547311208
9905,0.0286515117172764
56537,0.0908752722940209
10060,-0.820996525657626
37698,0.301681606527818
9891,-0.0312832117026925
9920,-0.232890740484819
9768,0.26120336972751
9907,-1.35602264227514
53519,-1.34772012471586
10143,0.0705081188585078
9673,-0.341467801141995
9675,0.551980729556452
9909,0.0565958542179362
9906,0.0578665849952171
43072,-0.276287727319612
9672,-0.0836697118831927
9807,-0.184090667410227
9683,-1.15733609057025
9904,0.100989881008484
37605,-0.105293944947535
36644,1.0797393215515
36452,0.709007228613157
37598,-0.440149530827826
