student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
38473,1,0,1,1,1,1,0,0,1,1
53604,1,1,1,1,0,1,0,0,1,1
38521,0,0,0,1,0,0,0,1,1,0
9669,1,1,1,0,0,0,0,1,0,1
54530,1,0,1,0,0,1,0,0,0,1
38402,1,1,1,1,1,1,0,0,1,1
28663,1,1,1,1,1,1,0,1,1,1
1558,0,0,1,1,0,1,0,1,1,1
55797,1,1,1,1,0,1,0,1,1,1
1595,1,1,1,1,0,1,0,1,1,1
1599,0,0,1,1,0,0,0,1,0,1
7028,0,1,1,0,0,0,0,1,1,1
55688,1,1,1,1,0,1,0,1,0,1
39432,1,1,1,1,1,1,0,1,1,1
39774,1,1,1,1,0,1,1,1,0,1
28677,1,1,1,1,1,1,1,1,1,1
40113,1,1,1,1,1,1,1,1,1,1
28484,1,1,1,1,1,1,0,1,1,1
43509,1,0,1,1,0,1,0,1,1,1
1615,0,1,1,1,0,1,0,1,0,1
1577,0,1,0,0,0,1,0,0,0,1
1594,1,0,0,0,0,1,0,0,0,1
1617,0,0,1,1,0,1,0,1,1,1
1686,0,0,1,1,0,0,1,0,0,1
2335,1,0,1,0,0,0,1,0,1,0
55798,0,1,1,1,0,1,1,1,1,1
1710,0,0,1,0,1,1,0,0,1,1
55974,1,1,1,1,0,1,0,1,1,1
2964,1,0,1,1,0,0,1,0,0,0
2980,1,0,1,1,0,1,0,0,0,1
3025,0,0,1,0,0,0,0,0,1,1
2909,1,1,1,1,0,1,0,0,1,1
2876,1,1,1,1,0,1,0,1,1,1
55926,1,1,1,0,0,0,1,1,0,1
1687,1,1,1,1,0,1,0,1,1,1
28607,0,1,0,1,0,0,0,1,0,0
41485,0,0,1,0,0,1,0,0,0,1
38153,1,1,0,0,0,0,0,0,0,1
12698,1,1,1,1,0,1,0,1,1,1
41575,1,1,1,1,0,1,0,0,1,1
43398,1,1,0,1,0,1,1,1,1,1
43427,0,1,1,0,1,0,0,1,0,0
1561,0,1,1,1,0,0,0,1,0,1
1707,1,0,0,0,0,0,0,0,1,0
38357,1,1,1,1,1,0,1,1,1,1
38121,1,0,1,1,0,0,0,1,1,1
1680,0,0,1,1,0,0,1,0,1,1
28610,0,1,1,0,0,0,0,0,1,1
2743,1,1,1,1,1,1,1,1,1,0
1708,1,1,1,1,0,0,0,1,0,1
28740,1,1,1,1,1,1,0,1,1,1
28808,1,1,1,1,1,1,0,1,1,1
28632,1,1,1,0,0,1,0,1,1,1
12713,1,1,1,1,1,1,0,1,1,1
